in s,C1 in V,C3 in V
-1.138E-07,-4.39453E-04,1.51367E-03
-1.136E-07,1.02539E-03,2.49023E-03
-1.134E-07,2.49023E-03,4.44336E-03
-1.132E-07,3.95508E-03,3.46680E-03
-1.130E-07,3.95508E-03,2.97852E-03
-1.128E-07,4.93164E-03,5.37109E-04
-1.126E-07,4.44336E-03,5.37109E-04
-1.124E-07,2.49023E-03,-9.27734E-04
-1.122E-07,3.95508E-03,4.88281E-05
-1.120E-07,4.44336E-03,2.49023E-03
-1.118E-07,6.88477E-03,4.93164E-03
-1.116E-07,9.32617E-03,6.39648E-03
-1.114E-07,8.34961E-03,6.39648E-03
-1.112E-07,9.32617E-03,6.88477E-03
-1.110E-07,7.37305E-03,4.93164E-03
-1.108E-07,5.41992E-03,3.46680E-03
-1.106E-07,3.95508E-03,2.00195E-03
-1.104E-07,5.90820E-03,3.46680E-03
-1.102E-07,8.83789E-03,4.93164E-03
-1.100E-07,8.34961E-03,7.37305E-03
-1.098E-07,7.86133E-03,7.86133E-03
-1.096E-07,1.27441E-02,8.34961E-03
-1.094E-07,2.00684E-02,1.46973E-02
-1.092E-07,1.81152E-02,1.46973E-02
-1.090E-07,8.34961E-03,7.86133E-03
-1.088E-07,-9.27734E-04,-2.88086E-03
-1.086E-07,-5.32227E-03,-6.78711E-03
-1.084E-07,-4.34570E-03,-4.34570E-03
-1.082E-07,-2.88086E-03,5.37109E-04
-1.080E-07,-1.90430E-03,2.00195E-03
-1.078E-07,-1.90430E-03,1.51367E-03
-1.076E-07,4.88281E-05,1.02539E-03
-1.074E-07,2.49023E-03,2.49023E-03
-1.072E-07,5.90820E-03,4.93164E-03
-1.070E-07,7.37305E-03,5.90820E-03
-1.068E-07,7.37305E-03,5.90820E-03
-1.066E-07,6.39648E-03,7.37305E-03
-1.064E-07,5.41992E-03,5.90820E-03
-1.062E-07,4.93164E-03,1.51367E-03
-1.060E-07,3.95508E-03,-9.27734E-04
-1.058E-07,5.37109E-04,1.02539E-03
-1.056E-07,4.88281E-05,4.88281E-05
-1.054E-07,1.02539E-03,4.88281E-05
-1.052E-07,4.44336E-03,2.00195E-03
-1.050E-07,6.88477E-03,2.49023E-03
-1.048E-07,8.34961E-03,2.49023E-03
-1.046E-07,8.34961E-03,2.00195E-03
-1.044E-07,9.32617E-03,3.95508E-03
-1.042E-07,8.34961E-03,3.95508E-03
-1.040E-07,4.93164E-03,2.97852E-03
-1.038E-07,5.41992E-03,2.49023E-03
-1.036E-07,4.93164E-03,2.97852E-03
-1.034E-07,4.93164E-03,4.44336E-03
-1.032E-07,7.86133E-03,4.44336E-03
-1.030E-07,6.39648E-03,6.88477E-03
-1.028E-07,7.37305E-03,4.93164E-03
-1.026E-07,6.39648E-03,3.46680E-03
-1.024E-07,5.90820E-03,2.97852E-03
-1.022E-07,6.88477E-03,3.95508E-03
-1.020E-07,5.90820E-03,2.97852E-03
-1.018E-07,3.95508E-03,3.46680E-03
-1.016E-07,2.00195E-03,3.46680E-03
-1.014E-07,2.97852E-03,5.41992E-03
-1.012E-07,3.46680E-03,3.95508E-03
-1.010E-07,5.41992E-03,2.49023E-03
-1.008E-07,6.88477E-03,4.44336E-03
-1.006E-07,6.39648E-03,7.86133E-03
-1.004E-07,6.39648E-03,7.86133E-03
-1.002E-07,5.41992E-03,8.34961E-03
-1.000E-07,3.95508E-03,8.34961E-03
-9.980E-08,3.46680E-03,7.86133E-03
-9.960E-08,4.93164E-03,7.37305E-03
-9.940E-08,2.49023E-03,6.88477E-03
-9.920E-08,-5.81055E-03,-2.39258E-03
-9.900E-08,-8.74023E-03,-9.22852E-03
-9.880E-08,5.37109E-04,-3.36914E-03
-9.860E-08,1.42090E-02,1.22559E-02
-9.840E-08,2.25098E-02,1.90918E-02
-9.820E-08,1.81152E-02,1.46973E-02
-9.800E-08,7.37305E-03,4.44336E-03
-9.780E-08,2.00195E-03,4.88281E-05
-9.760E-08,4.93164E-03,2.49023E-03
-9.740E-08,7.86133E-03,4.93164E-03
-9.720E-08,9.81445E-03,4.93164E-03
-9.700E-08,5.90820E-03,4.93164E-03
-9.680E-08,3.95508E-03,4.44336E-03
-9.660E-08,3.46680E-03,3.95508E-03
-9.640E-08,5.41992E-03,3.95508E-03
-9.620E-08,7.37305E-03,4.93164E-03
-9.600E-08,1.22559E-02,5.41992E-03
-9.580E-08,1.32324E-02,4.93164E-03
-9.560E-08,1.12793E-02,2.97852E-03
-9.540E-08,5.90820E-03,5.37109E-04
-9.520E-08,3.46680E-03,-1.41602E-03
-9.500E-08,3.95508E-03,4.88281E-05
-9.480E-08,5.41992E-03,2.00195E-03
-9.460E-08,6.39648E-03,3.95508E-03
-9.440E-08,6.39648E-03,6.88477E-03
-9.420E-08,7.86133E-03,7.37305E-03
-9.400E-08,7.86133E-03,3.95508E-03
-9.380E-08,8.34961E-03,2.97852E-03
-9.360E-08,8.34961E-03,5.37109E-04
-9.340E-08,6.39648E-03,2.00195E-03
-9.320E-08,5.41992E-03,1.51367E-03
